BTBLR20507198801,PISAREVA  Nadzeya,23,13
BTEST21908199001,VIIGIPUU Kristel,4,11
BTJPN22105199001,NAKAJIMA Yuki,15,19
BTROM22010198501,SZOECS Emoeke,3,9
BTNOR20712199001,OLSBU Marte,3,1
BTPOL20110198401,BOBAK Paulina,23,9
BTBLR23007199101,KRYUKO Iryna,38,14
BTKOR20306198901,KIM Seon-Su,2,10
BTFRA22306198501,BRETON Claire,4,3
BTUKR21909199001,DZHYMA Juliya,158,25
BTUSA20108198401,COOK Annelies,41,23
BTEST20303199201,YURLOVA Daria,6,16
BTBLR11510198601,BABCHYN Aliaksandr,20,14
BTGER11109198102,BIRNBACHER Andreas,369,29
BTAUT11303198801,LANDERTINGER Dominik,362,33
BTITA10611198901,WINDISCH Dominik,91,26
BTSWE11403197801,BERGMAN Carl Johan,129,28
BTLAT12705198801,RASTORGUJEVS Andrejs,99,23
BTAUT12202197801,PINTER Friedrich,134,24
BTUSA11907197701,HAKKINEN Jay,17,9
BTCZE10302198301,SLESINGR Michal,187,32
BTSWE10404198201,JONSSON Magnus,8,9
BTRUS11302198801,GARANICHEV Evgeniy,238,26
BTRUS11610198201,MAKOVEEV Andrei,156,23
BTBUL10312198201,KLETCHEROV Michail,40,20
BTMKD11507198101,DAMJANOVSKI Darko,2,6
BTGBR12004198001,JACKSON Lee-Steve,10,16
BTPOL10104198801,SZCZUREK Lukasz,24,18
BTEST11404197801,LESSING Roland,13,20
BTFIN10604198201,KAUPPINEN Jarkko,55,24
BTBLR12602198701,ABRAMENKO Evgeny,39,23
BTUSA11806198701,CURRIER Russell,15,23
BTSVK12308199001,HASILLA Tomas,4,9
BTSVK11407198201,MATIASKO Miroslav,24,17
BTROM11703198901,GERBACEA Roland,4,11
BTAUT11901197601,SUMANN Christoph,149,17
BTSWE11702198901,ERIKSSON Christofer,17,19
BTLAT11707198301,PIKSONS Edgars,5,14
BTUSA11705198901,NORDGREN Leif,18,25
BTEST11308198601,STEPTSENKO Danil,5,13
BTFRA10312199101,DESTHIEUX Simon,27,20
BTUKR10801197801,BILANENKO Olexander,32,14
BTNOR11205199201,CHRISTIANSEN Vetle Sjastad,96,11
BTCZE10801198801,KRUPCIK Tomas,11,12
BTLAT12211199001,KOLESNIKOVS Arturs,3,13
BTSCG11601198601,KRSMANOVIC Dejan,0,3
BTBLR11507198801,CHEPELIN Vladimir,28,18
BTNOR21505198901,SOLEMDAL Synnoeve,221,28
BTBLR22703198501,SKARDINO Nadezhda,224,34
BTBLR20308198602,DOMRACHEVA Darya,584,32
BTGER21507198601,BACHMANN Tina,44,13
BTRUS22808198401,KUZMINA Anastasiya,355,33
BTRUS23107198601,SLEPTSOVA Svetlana,7,5
BTBLR22307198201,KALINCHIK Liudmila,32,24
BTFRA21401198801,BOLLIET Marine,37,19
BTITA20311198501,OBERHOFER Karin,167,33
BTFIN21101198301,MAKARAINEN Kaisa,498,32
BTRUS22203198801,VILUKHINA Olga,387,31
BTSLO22906198001,GREGORIN Teja,269,29
BTUKR20901198701,PIDHRUSHNA Olena,409,33
BTPOL20408197901,GWIZDON Magdalena,234,33
BTSVK22711198401,GEREKOVA Jana,114,32
BTBLR21403198501,DUBAREZAVA Nastassia,26,23
BTROU21403198801,PISCORAN Luminita,11,22
BTFRA21906198601,DORIN HABERT Marie,481,33
BTCZE20912198801,VITKOVA Veronika,247,34
BTRUS22204198701,GLAZYRINA Ekaterina,232,26
BTSWE20506198701,LARSSON Emelie,19,7
BTUSA20710198401,STUDEBAKER Sara,36,22
BTFRA22011198801,BRUNET Marie Laure,215,23
BTGER22403198701,HILDEBRAND Franziska,139,25
BTNOR20803198801,HORN Fanny Welle-Strand,116,22
