BTSWE12407198901,LINDSTROEM Fredrik,302
BTPOL13003198601,KWAK Adam,14
BTGBR12701198701,BEYER Pete,2
BTCAN10611199001,GOW Scott,24
BTCHN12004198601,LI Zhonghai,1
BTCHN12204199101,LI Xuezhi,0
BTPOL22802198401,CYL Agnieszka,11
BTFRA21906198601,DORIN HABERT Marie,488
BTKOR22502198901,JO In-Hee,14
BTKOR21104199101,PARK Ji-Ae,6
BTNOR12101198001,OS Alexander,3
BTAUT11303198801,LANDERTINGER Dominik,365
BTBUL10312198201,KLETCHEROV Michail,43
BTGER11109198102,BIRNBACHER Andreas,386
BTPOL11102198301,PLYWACZYK Krzysztof,6
BTLAT20510198901,JUSKANE Zanna,6
BTITA21711199101,GONTIER Nicole,35
BTITA20304199001,WIERER Dorothea,132
BTPOL22708199101,HOJNISZ Monika,94
BTROM22903198901,FERENCZ Reka,50
BTNZL21602198801,MURPHY Sarah,2
BTCAN22305198801,CRAWFORD Rosanna,39
BTLTU21704198501,KOCERGINA Natalija,19
BTBLR20507198801,PISAREVA  Nadzeya,23
BTKAZ22905198501,LEBEDEVA Marina,8
BTCZE20811198601,TOMESOVA Barbora,31
BTEST21908199001,VIIGIPUU Kristel,4
BTFRA21401198801,BOLLIET Marine,41
BTJPN22105199001,NAKAJIMA Yuki,15
BTROM22010198501,SZOECS Emoeke,3
BTNOR20712199001,OLSBU Marte,3
BTPOL20110198401,BOBAK Paulina,23
BTBLR23007199101,KRYUKO Iryna,38
BTKAZ21408199101,RAIKOVA Alina,32
BTSWE22109198601,MATTSSON Elin,27
BTFRA22306198501,BRETON Claire,4
BTUSA20108198401,COOK Annelies,41
BTBUL21202199301,POPOVA Stefani,5
BTEST20303199201,YURLOVA Daria,6
BTKAZ12904198701,SAVITSKIY Yan,49
BTITA10611198901,WINDISCH Dominik,121
BTITA11802198101,DE LORENZI Christian,63
BTSWE11403197801,BERGMAN Carl Johan,130
BTLAT12705198801,RASTORGUJEVS Andrejs,99
BTAUT12202197801,PINTER Friedrich,134
BTCAN13107198501,LE GUELLEC Jean-Philippe,134
BTCZE10302198301,SLESINGR Michal,187
BTRUS11302198801,GARANICHEV Evgeniy,238
BTRUS11610198201,MAKOVEEV Andrei,158
BTMKD11507198101,DAMJANOVSKI Darko,2
BTFRA12403198801,BEATRIX Jean Guillaume,300
BTGBR12004198001,JACKSON Lee-Steve,12
BTPOL10104198801,SZCZUREK Lukasz,24
BTEST11404197801,LESSING Roland,13
BTFIN10604198201,KAUPPINEN Jarkko,59
BTBLR12602198701,ABRAMENKO Evgeny,39
BTUSA11806198701,CURRIER Russell,15
BTROM11703198901,GERBACEA Roland,4
BTAUT11901197601,SUMANN Christoph,154
BTSWE11702198901,ERIKSSON Christofer,17
BTSUI12006198401,BOECKLI Claudio,57
BTEST11308198601,STEPTSENKO Danil,5
BTFRA10312199101,DESTHIEUX Simon,27
BTLTU11902198501,ZLATKAUSKAS Karolis,2
BTUKR10801197801,BILANENKO Olexander,34
BTAUT12205197601,MESOTITSCH Daniel,155
BTNOR11205199201,CHRISTIANSEN Vetle Sjastad,97
BTLAT12211199001,KOLESNIKOVS Arturs,3
BTSCG11601198601,KRSMANOVIC Dejan,0
BTNOR21505198901,SOLEMDAL Synnoeve,222
BTSWE20101198101,STROEMSTEDT Anna-Karin,16
BTBLR22703198501,SKARDINO Nadezhda,224
BTRUS22808198401,KUZMINA Anastasiya,355
BTRUS23107198601,SLEPTSOVA Svetlana,7
BTBLR22307198201,KALINCHIK Liudmila,32
